     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
서울,중구,중구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011411 ,,,1 ,2 ,201901140512 ,,
서울,종로구,종로구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019012309 ,,,1 ,2 ,201901230310 ,,
서울,중랑구,중랑구,99 ,31 ,744 ,739 ,1 ,0 ,2 ,2019011411 ,,,1 ,1 ,201901140411 ,,
서울,동대문구,동대문구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019012310 ,,,1 ,2 ,201901230209 ,,
서울,은평구,은평구,100 ,31 ,744 ,741 ,1 ,0 ,2 ,2019011411 ,,,1 ,2 ,201901140411 ,,
서울,마포구,마포구,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019012309 ,,,0 ,2 ,201901140714 ,,
서울,영등포구,영등포구,97 ,29 ,722 ,721 ,1 ,0 ,2 ,2019010403 ,,,1 ,1 ,201901040108 ,,
서울,동작구,동작구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011408 ,,,0 ,2 ,201901140411 ,,
서울,관악구,관악구,100 ,31 ,744 ,742 ,1 ,0 ,2 ,2019010411 ,,,0 ,2 ,201901040512 ,,
서울,강남구,강남구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011411 ,,,1 ,2 ,201901140411 ,,
서울,금천구,금천구,99 ,31 ,738 ,739 ,1 ,0 ,2 ,2019012310 ,,,1 ,1 ,201901120108 ,,
서울,강동구,강동구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011422 ,,,1 ,2 ,201901152003 ,,
서울,강북구,강북구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011411 ,,,1 ,1 ,201901140512 ,,
서울,성북구,성북구,99 ,31 ,744 ,740 ,1 ,0 ,3 ,2019012310 ,,,1 ,2 ,201901140512 ,,
서울,용산구,용산구,99 ,31 ,744 ,740 ,1 ,0 ,2 ,2019011412 ,,,1 ,2 ,201901140411 ,,
서울,광진구,광진구,99 ,31 ,738 ,739 ,1 ,0 ,2 ,2019011423 ,,,1 ,2 ,201901151801 ,,
