,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,
서울,중구,중구,99.40,28,672,668,0.6,0.3,1.4,2019022209,,,0.5,1.2,201902220310,,
서울,종로구,종로구,99.40,28,672,668,0.8,0.4,1.8,2019020601,,,0.6,1.5,201902062003,,
서울,중랑구,중랑구,99.25,28,666,667,0.7,0.3,1.3,2019022107,,,0.5,1.1,201902210108,,
서울,동대문구,동대문구,99.40,28,672,668,0.6,0.2,1.5,2019020522,,,0.5,1.2,201902061902,,
서울,은평구,은평구,99.55,28,672,669,0.8,0.5,1.7,2019022408,,,0.7,1.3,201902210411,,
서울,마포구,마포구,99.70,28,672,670,0.6,0.3,1.6,2019020523,,,0.5,1.4,201902062003,,
서울,영등포구,영등포구,98.95,28,672,665,0.7,0.2,1.7,2019020822,,,0.5,1.4,201902240108,,
서울,동작구,동작구,99.40,28,672,668,0.6,0.3,1.5,2019022209,,,0.5,1.2,201902220411,,
서울,관악구,관악구,99.55,28,672,669,0.6,0.2,1.5,2019020522,,,0.5,1.3,201902062003,,
서울,강남구,강남구,99.40,28,672,668,0.6,0.3,1.4,2019022109,,,0.5,1.1,201902210815,,
서울,금천구,금천구,99.40,28,672,668,0.7,0.3,1.4,2019022209,,,0.5,1.2,201902220411,,
서울,강동구,강동구,99.40,28,672,668,0.6,0.3,1.2,2019022104,,,0.6,1.1,201902210108,,
서울,강북구,강북구,99.40,28,672,668,0.6,0.3,1.2,2019020221,,,0.5,1.0,201902021623,,
서울,성북구,성북구,99.70,28,672,670,0.9,0.5,1.9,2019020524,,,0.6,1.6,201902061902,,
서울,용산구,용산구,99.25,28,672,667,0.6,0.3,1.5,2019022304,,,0.5,1.2,201902220310,,
서울,광진구,광진구,99.40,28,672,668,0.9,0.4,1.9,2019022109,,,0.7,1.7,201902210209,,
서울,성동구,성동구,99.40,28,672,668,0.6,0.3,1.4,2019022109,,,0.5,1.2,201902220209,,
서울,도봉구,도봉구,76.04,21,508,511,0.7,0.3,2.4,2019020110,,,0.5,1.6,201902010411,,
서울,서대문구,서대문구,99.70,28,672,670,1.1,0.5,2.2,2019021902,,,0.8,2.0,201902212205,,
