,,,,,,,,,,,,,,,,,,
     - CO 오염도,,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,"측정소
코드","유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
횟수
(8hour)","유효
측정
시간
(hour)","월평균
(ppm)",1시간치,,,,,8시간치,,,,
,,,,,,,,,"최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)","최저
(ppm)","최고
(ppm)",최고일시,"기준초과
(회)","초과율
(%)"
,,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,0.00,0,0,0,,,,,,,,,,,
서울,종로구,종로구,111123,99.59,31,744,741,0.5,0.2,0.8,2019080423,,,0.3,0.7,201908050108,,
서울,중랑구,중랑구,111151,99.32,31,738,739,0.4,0.2,0.7,2019081623,,,0.3,0.6,201908082205,,
서울,동대문구,동대문구,111152,97.84,30,725,728,0.3,0.2,0.6,2019080501,,,0.3,0.5,201908050108,,
서울,은평구,은평구,111181,99.59,31,744,741,0.5,0.3,0.8,2019081623,,,0.4,0.7,201908080108,,
서울,마포구,마포구,111201,99.59,31,744,741,0.6,0.3,1.1,2019080508,,,0.4,0.9,201908050108,,
서울,영등포구,영등포구,111231,99.73,31,744,742,0.4,0.1,0.8,2019080322,,,0.3,0.7,201908231902,,
서울,동작구,동작구,111241,98.52,30,734,733,0.4,0.2,0.6,2019080505,,,0.3,0.6,201908050108,,
서울,관악구,관악구,111251,99.19,31,738,738,0.3,0.1,0.8,2019082222,,,0.2,0.6,201908051801,,
서울,강남구,강남구,111261,95.29,29,714,709,0.4,0.2,0.7,2019080424,,,0.3,0.6,201908071421,,
서울,금천구,금천구,111281,99.59,31,744,741,0.4,0.2,0.8,2019082222,,,0.3,0.7,201908231902,,
서울,강동구,강동구,111274,95.96,29,712,714,0.4,0.2,0.8,2019082223,,,0.3,0.7,201908230108,,
서울,강북구,강북구,111291,99.46,31,744,740,0.3,0.2,0.6,2019080423,,,0.3,0.6,201908291118,,
서울,성북구,성북구,111161,99.59,31,744,741,0.6,0.4,1.0,2019081623,,,0.5,0.9,201908050108,,
서울,용산구,용산구,111131,99.46,31,744,740,0.4,0.2,0.8,2019080502,,,0.3,0.7,201908050108,,
서울,광진구,광진구,111141,99.59,31,744,741,0.7,0.4,1.0,2019080422,,,0.6,1.0,201908081902,,
서울,성동구,성동구,111142,99.59,31,744,741,0.4,0.2,0.8,2019080721,,,0.3,0.7,201908232003,,
서울,도봉구,도봉구,111171,99.05,31,744,737,0.4,0.2,0.8,2019082223,,,0.4,0.7,201908230108,,
