     - PM2.5 오염도,,,,,,,,,,,,,,,,,
시.도,시군구,측정소명,측정소코드,"유효
자료
획득률
(%)","유효
측정
일수
(day)","유효
측정
시간
(hour)","월평균
(㎍/㎥)","황사제외 
월평균
(㎍/㎥)",24시간치,,,,,,,,
,,,,,,,,,"최저
(㎍/㎥)","최고
(㎍/㎥)",최고일,기준초과(회),초과율(%),,,,
,,,,,,,,,,,,,,,,,
서울,중구,중구,111121,99.58,30,717,20,20,7,37,20191102,1,3.33,,,,
서울,종로구,종로구,111123,99.30,30,715,20,20,7,37,20191102,1,3.33,,,,
서울,중랑구,중랑구,111151,98.88,30,712,16,15,4,34,20191102,,,,,,
서울,동대문구,동대문구,111152,98.88,30,712,18,18,3,35,20191102,,,,,,
서울,은평구,은평구,111181,99.30,30,715,18,18,6,38,20191102,1,3.33,,,,
서울,마포구,마포구,111201,98.75,30,711,20,20,5,44,20191102,1,3.33,,,,
서울,영등포구,영등포구,111231,96.52,30,695,21,21,7,41,20191102,1,3.33,,,,
서울,동작구,동작구,111241,99.44,30,716,24,23,9,45,20191102,3,10.00,,,,
서울,관악구,관악구,111251,98.61,30,710,20,20,6,38,20191102,1,3.33,,,,
서울,강남구,강남구,111261,99.16,30,714,19,19,7,41,20191102,2,6.66,,,,
서울,금천구,금천구,111281,99.44,30,716,21,20,8,36,20191102,1,3.33,,,,
서울,강동구,강동구,111274,80.55,24,580,25,25,9,46,20191102,4,13.33,,,,
서울,강북구,강북구,111291,99.72,30,718,21,20,7,43,20191102,2,6.66,,,,
서울,성북구,성북구,111161,98.88,30,712,16,16,2,31,20191101,,,,,,
서울,용산구,용산구,111131,99.44,30,716,18,18,4,38,20191102,1,3.33,,,,
서울,광진구,광진구,111141,97.77,30,704,20,20,7,43,20191102,3,10.00,,,,
서울,성동구,성동구,111142,99.16,30,714,20,19,9,37,20191101,2,6.66,,,,
서울,도봉구,도봉구,111171,98.47,30,709,17,17,4,33,20191102,,,,,,
서울,서대문구,서대문구,111191,98.61,29,710,14,13,4,30,20191102,,,,,,
서울,구로구,구로구,111221,99.02,30,713,24,23,8,52,20191102,3,10.00,,,,
서울,서초구,서초구,111262,98.75,30,711,22,22,6,46,20191102,3,10.00,,,,
서울,강서구,강서구,111212,99.02,30,713,24,24,8,49,20191102,2,6.66,,,,
서울,송파구,송파구,111273,98.47,29,709,17,17,5,38,20191102,2,6.66,,,,
서울,양천구,양천구,111301,99.44,30,716,23,23,7,44,20191102,3,10.00,,,,
서울,노원구,노원구,111311,99.30,30,715,22,22,9,40,20191102,1,3.33,,,,
부산,중구,광복동*,221112,97.63,29,703,16,15,6,40,20191101,1,3.33,,,,
부산,남구,대연동*,221172,100.00,30,720,14,13,5,37,20191101,1,3.33,,,,
부산,사상구,학장동*,221181,99.72,30,718,21,20,8,40,20191101,1,3.33,,,,
부산,북구,덕천동,221182,100.00,30,720,20,19,10,36,20191101,1,3.33,,,,
부산,사하구,장림동*,221202,99.58,30,717,24,24,8,44,20191101,2,6.66,,,,
부산,부산진구,전포동,221152,99.72,30,718,16,15,5,37,20191101,1,3.33,,,,
부산,연제구,연산동*,221221,99.72,30,718,15,14,6,32,20191101,,,,,,
부산,영도구,태종대,221141,99.30,30,715,14,13,6,32,20191101,,,,,,
부산,금정구,청룡동*,221191,100.00,30,720,15,15,6,35,20191101,,,,,,
부산,해운대구,좌동,221192,100.00,30,720,19,18,9,43,20191101,1,3.33,,,,
부산,강서구,대저동*,221211,97.63,29,703,16,16,5,27,20191103,,,,,,
부산,강서구,녹산동*,221212,99.02,30,713,23,22,10,45,20191101,2,6.66,,,,
부산,기장군,기장읍*,221231,100.00,30,720,12,11,3,36,20191101,1,3.33,,,,
부산,금정구,부곡동,221251,99.86,30,719,15,15,7,35,20191101,,,,,,
부산,수영구,광안동,221271,99.58,30,717,18,17,9,40,20191101,1,3.33,,,,
부산,동래구,명장동*,221163,99.16,30,714,11,11,4,31,20191101,,,,,,
부산,기장군,용수리*,221233,99.72,30,718,18,17,10,42,20191101,1,3.33,,,,
부산,동구,수정동,221241,97.91,29,705,13,13,6,32,20191101,,,,,,
부산,서구,대신동,221281,99.44,30,716,17,16,7,39,20191101,1,3.33,,,,
부산,사상구,덕포동,221282,100.00,30,720,20,19,7,38,20191101,1,3.33,,,,
부산,부산진구,개금동,221283,100.00,30,720,18,17,6,36,20191101,1,3.33,,,,
부산,사하구,당리동,221284,99.86,30,719,15,15,4,33,20191101,,,,,,
대구,중구,수창동,422114,99.58,30,717,23,23,7,45,20191117,3,10.00,,,,
대구,서구,이현동,422132,99.58,30,717,26,26,7,49,20191117,4,13.33,,,,
대구,남구,대명동,422141,99.02,30,713,23,23,6,47,20191117,3,10.00,,,,
대구,북구,노원동,422153,99.44,30,716,22,22,7,43,20191101,3,10.00,,,,
대구,동구,신암동,422154,99.86,30,719,20,20,6,48,20191117,3,10.00,,,,
대구,수성구,만촌동,422161,99.86,30,719,21,20,3,48,20191117,3,10.00,,,,
대구,수성구,지산동*,422115,100.00,30,720,19,19,7,42,20191117,1,3.33,,,,
대구,달서구,호림동*,422171,99.72,30,718,20,20,9,39,20191101,1,3.33,,,,
대구,동구,서호동*,422121,97.77,30,704,26,25,9,53,20191117,4,13.33,,,,
대구,북구,태전동*,422155,99.72,30,718,17,17,6,34,20191117,,,,,,
대구,달성군,다사읍,422205,99.30,30,715,18,18,5,36,20191117,1,3.33,,,,
대구,달성군,현풍면*,422201,91.94,29,662,19,19,9,33,20191102,,,,,,
대구,수성구,시지동,422203,99.72,30,718,23,22,7,50,20191117,3,10.00,,,,
대구,달서구,진천동,422204,100.00,30,720,23,23,7,49,20191117,3,10.00,,,,
인천,중구,신흥,823611,82.63,24,595,20,20,7,38,20191102,1,3.33,,,,
인천,동구,송림,823621,96.38,29,694,21,21,8,37,20191102,1,3.33,,,,
인천,남동구,구월동,823631,80.13,23,577,16,16,3,31,20191102,,,,,,
인천,미추홀구,숭의,823632,84.16,25,606,22,22,9,36,20191102,1,3.33,,,,
인천,부평구,부평,823641,85.00,25,612,17,18,6,30,20191102,,,,,,
인천,서구,연희,823651,80.83,23,582,17,17,10,34,20191130,,,,,,
인천,서구,석남,823681,99.86,30,719,19,19,7,35,20191102,,,,,,
인천,계양구,계산,823662,82.91,25,597,17,17,4,34,20191102,,,,,,
인천,남동구,고잔*,823671,98.47,30,709,16,16,7,26,20191102,,,,,,
인천,강화군,송해,823691,85.27,25,614,21,21,7,37,20191130,2,6.66,,,,
인천,서구,검단,823652,84.72,25,610,23,23,10,43,20191102,2,6.66,,,,
인천,연수구,동춘,823701,83.61,25,602,20,20,7,35,20191102,,,,,,
인천,중구,운서,823702,84.30,25,607,16,16,4,30,20191102,,,,,,
인천,남동구,논현,823704,96.94,29,698,17,17,7,31,20191102,,,,,,
인천,서구,원당,823801,96.25,29,693,17,17,4,36,20191102,1,3.33,,,,
인천,연수구,송도,823706,99.58,30,717,18,18,5,32,20191102,,,,,,
인천,서구,청라,823705,99.58,30,717,20,21,8,38,20191130,1,3.33,,,,
인천,강화군,길상,823802,98.88,30,712,21,21,8,40,20191102,2,6.66,,,,
인천,중구,삼산,823803,99.72,30,718,18,18,5,33,20191102,,,,,,
광주,동구,서석동,324115,98.05,30,706,19,18,7,49,20191101,3,10.00,,,,
광주,서구,농성동,324121,90.55,26,652,23,22,10,49,20191101,3,10.00,,,,
광주,북구,두암동,324133,98.75,30,711,19,18,8,38,20191101,2,6.66,,,,
광주,광산구,송정1동*,324141,96.80,30,697,17,17,6,37,20191101,1,3.33,,,,
광주,광산구,오선동,324142,98.19,30,707,22,22,10,45,20191101,3,10.00,,,,
광주,북구,건국동,324135,95.13,28,685,22,21,8,45,20191101,3,10.00,,,,
광주,남구,주월동,324155,98.33,30,708,22,21,8,48,20191101,3,10.00,,,,
대전,대덕구,읍내동,525111,97.08,30,699,27,27,13,43,20191103,6,20.00,,,,
대전,중구,문창동,525121,99.30,30,715,18,18,7,37,20191101,2,6.66,,,,
대전,유성구,구성동,525141,98.47,30,709,18,18,9,31,20191103,,,,,,
대전,유성구,노은동,525142,98.61,29,710,15,15,5,32,20191103,,,,,,
대전,대덕구,문평동,525112,98.61,30,710,25,25,12,46,20191103,3,10.00,,,,
대전,동구,성남동,525161,98.05,30,706,20,20,8,42,20191101,2,6.66,,,,
대전,서구,정림동,525171,98.61,30,710,17,17,6,35,20191103,,,,,,
대전,서구,둔산동,525172,93.47,27,673,22,22,11,44,20191103,3,10.00,,,,
대전,동구,대성동,525162,99.30,30,715,20,20,8,42,20191103,2,6.66,,,,
대전,대덕구,상대동,525143,95.69,30,689,30,30,16,51,20191103,8,26.66,,,,
울산,중구,성남동,238121,99.02,30,713,16,15,6,34,20191101,,,,,,
울산,남구,부곡동,238122,98.75,30,711,16,15,7,38,20191101,1,3.33,,,,
울산,남구,여천동,238123,99.44,30,716,16,16,5,36,20191101,1,3.33,,,,
울산,남구,야음동,238124,96.11,28,692,15,14,5,26,20191108,,,,,,
울산,남구,신정동,238127,98.47,30,709,12,12,2,31,20191101,,,,,,
울산,울주군,덕신리,238128,99.58,30,717,14,13,4,32,20191101,,,,,,
울산,울주군,삼남면,238375,99.86,30,719,16,15,6,36,20191101,1,3.33,,,,
울산,북구,효문동,238130,98.61,29,710,17,17,5,38,20191101,1,3.33,,,,
울산,울주군,화산리,238371,99.30,30,715,13,13,4,31,20191101,,,,,,
울산,울주군,상남리,238373,99.72,30,718,17,16,7,32,20191101,,,,,,
울산,동구,대송동,238120,97.91,30,705,14,13,4,36,20191101,1,3.33,,,,
울산,남구,무거동,238129,99.86,30,719,16,16,6,33,20191101,,,,,,
울산,남구,삼산동,238125,99.16,30,714,14,13,2,35,20191101,,,,,,
울산,북구,농소동,238374,99.30,30,715,18,17,6,38,20191101,1,3.33,,,,
울산,중구,약사동,238376,99.16,30,714,13,13,3,33,20191101,,,,,,
울산,동구,전하동,238381,99.72,30,718,15,14,6,40,20191101,1,3.33,,,,
세종,세종,신흥동,541111,94.44,28,680,29,29,10,49,20191103,7,23.33,,,,
세종,세종,아름동,541112,94.72,27,682,24,24,7,48,20191103,2,6.66,,,,
세종,세종,한솔동,541113,99.72,30,718,22,22,7,41,20191103,1,3.33,,,,
세종,세종,부강면,541114,99.44,30,716,28,28,9,49,20191103,6,20.00,,,,
경기,수원,인계동,131112,99.30,30,715,23,23,7,46,20191102,4,13.33,,,,
경기,수원,신풍동,131111,99.72,30,718,23,23,7,49,20191102,4,13.33,,,,
경기,수원,광교동*,131113,99.72,30,718,18,17,4,41,20191101,2,6.66,,,,
경기,수원,영통동*,131114,97.63,29,703,22,22,10,43,20191102,3,10.00,,,,
경기,수원,천천동,131115,95.00,28,684,20,20,5,39,20191102,2,6.66,,,,
경기,수원,고색동,131117,98.05,30,706,21,22,6,44,20191102,2,6.66,,,,
경기,수원,호매실동*,131118,98.88,30,712,21,21,9,39,20191102,2,6.66,,,,
경기,안양,안양6동,131141,98.75,30,711,21,21,6,40,20191102,2,6.66,,,,
경기,안양,부림동,131142,99.44,30,716,23,22,7,46,20191101,3,10.00,,,,
경기,안양,호계동,131144,98.61,30,710,20,20,4,35,20191130,,,,,,
경기,안양,안양2동,131145,97.36,29,701,22,22,10,35,20191102,,,,,,
경기,성남,단대동,131121,98.33,30,708,19,19,4,37,20191102,2,6.66,,,,
경기,성남,정자동,131123,85.13,25,613,22,22,6,45,20191103,3,10.00,,,,
경기,성남,수내동,131124,96.11,29,692,19,19,6,36,20191102,1,3.33,,,,
경기,성남,복정동,131126,95.27,28,686,22,22,8,38,20191102,2,6.66,,,,
경기,성남,상대원동,131129,86.66,25,624,19,19,5,36,20191106,1,3.33,,,,
경기,성남,운중동*,131128,94.86,28,683,18,17,6,35,20191102,,,,,,
경기,의정부,의정부동,131131,83.61,23,602,22,22,8,40,20191102,2,6.66,,,,
경기,의정부,의정부1동*,131132,99.72,30,718,21,21,4,41,20191102,2,6.66,,,,
경기,광명,철산동,131161,60.00,17,432,26*,26*,9,45,20191102,3,10.00,,,,
경기,광명,소하동,131163,96.94,29,698,22,22,7,43,20191102,2,6.66,,,,
경기,안산,고잔동,131191,74.72,23,538,25*,25*,12,52,20191103,2,6.66,,,,
경기,안산,원시동*,131192,90.55,26,652,22,22,6,51,20191102,3,10.00,,,,
경기,안산,본오동,131193,98.75,30,711,24,24,9,51,20191103,3,10.00,,,,
경기,안산,원곡동*,131194,70.97,19,511,15*,15*,5,21,20191102,,,,,,
경기,안산,부곡동*,131195,95.69,28,689,20,20,5,38,20191102,3,10.00,,,,
